시설번호,시설일련번호,수용시설명,시군구명,법정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
1397,389,서울 수리초등학교 본관동,은평구,1138010300,서울특별시 은평구 불광동 639-0,585,126.934043,37.620334,194177.12671,557861.854121
1398,391,연천중학교,은평구,1138010300,서울특별시 은평구 불광동 441-1,998,126.925801,37.627526,193450.131599,558660.656416
1399,390,연신중학교,은평구,1138010300,서울특별시 은평구 불광동 400-4,808,126.924953,37.623703,193374.925449,558236.327888
1400,402,불광중학교,은평구,1138010300,서울특별시 은평구 불광동 173-0,1122,126.931669,37.623116,193967.692644,558170.779805
1401,406,불광2동주민센터,은평구,1138010300,서울특별시 은평구 불광동 81-2,484,126.927321,37.626388,193584.144428,558534.174439
1402,337,서광교회,은평구,1138010400,서울특별시 은평구 갈현동 1-29,1167,126.919281,37.627767,192874.581246,558687.800031
1403,343,갈현2동주민센터,은평구,1138010400,서울특별시 은평구 갈현동 502-3,154,126.915793,37.618498,192565.742359,557659.28221
1199,312,천호중학교,강동구,1174010900,서울특별시 강동구 천호동 38-1,895,127.139577,37.546398,212334.491314,549662.930136
1200,329,천호초등학교 체육관,강동구,1174010900,서울특별시 강동구 천호동 224-21,1000,127.136443,37.547308,212057.377615,549763.442749
1201,330,천호초등학교,강동구,1174010900,서울특별시 강동구 천호동 224-21,3041,127.136443,37.547308,212057.377615,549763.442749
1202,451,천호제2동주민센터,강동구,1174010900,서울특별시 강동구 천호동 422-12,286,127.128202,37.542189,211329.941831,549194.303817
1203,447,천일중학교,강동구,1174010900,서울특별시 강동구 천호동 313-5,540,127.12792,37.545717,211304.519823,549585.855339
1204,340,동신중학교,강동구,1174010900,서울특별시 강동구 천호동 447-9,5000,127.134476,37.536743,211885.255195,548590.662806
1205,452,천호제3동주민센터,강동구,1174010900,서울특별시 강동구 천호동 555-0,218,127.129814,37.53992,211472.752094,548942.638911
1206,335,성내1동 주민센터,강동구,1174010800,서울특별시 강동구 성내동 539-1,184,127.122195,37.530529,210800.738984,547899.429399
1207,337,강동 어린이 회관,강동구,1174010800,서울특별시 강동구 성내동 556-1,470,127.122421,37.529388,210820.864788,547772.836186
1737,443,한남동공영주차장,용산구,1117013100,서울특별시 용산구 한남동 685-20,125,126.997468,37.539158,199776.223746,548850.175618
1739,522,신사문화센터,강남구,1168010700,서울특별시 강남구 신사동 548-1,251,127.022793,37.52398,202014.847945,547165.825351
1740,318,신구초등학교,강남구,1168010700,서울특별시 강남구 신사동 550-11,1663,127.023938,37.523355,202116.049393,547096.53658
1742,3,학동초등학교,강남구,1168010800,서울특별시 강남구 논현동 264-7,100,127.039431,37.512058,203486.121772,545843.18124
1743,10,단국대학교사범대학부속고등학교,강남구,1168010600,서울특별시 강남구 대치동 1013,864,127.056987,37.495195,205039.405306,543972.367397
1744,542,도곡1문화센터,강남구,1168011800,서울특별시 강남구 도곡동 892-6,183,127.038872,37.488371,203437.798984,543214.115036
1745,543,세곡문화센터,강남구,1168011300,서울특별시 강남구 율현동 278-1,429,127.106959,37.469043,209461.833608,541073.630404
1749,336,계상초등학교,노원구,1135010500,서울특별시 노원구 상계동 447-1,922,127.068073,37.663084,206006.263689,562606.769527
