시설번호,시설일련번호,수용시설명,시군구명,법정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
22,69,상경초등학교 운동장,노원구,1135010500,서울특별시 노원구 수락산로 237(상계동),2660.0,127.051701,37.670123,204561.310574,563387.077325
23,89,하계어린이공원,노원구,1135010400,서울특별시 노원구 하계동 273-3,1150.0,127.068952,37.632236,206086.345342,559182.999054
24,92,상계근린공원,노원구,1135010500,서울특별시 노원구 상계동 620,4860.0,127.050808,37.669797,204482.488559,563350.83037
25,54,동국대학교사범대학부속고등학교 운동장,동대문구,1123010600,서울특별시 동대문구 장안벚꽃로 201(장안동),7283.0,127.075108,37.577569,206634.547954,553115.98709
26,16,창덕여자중학교 운동장,중구,1114016700,서울특별시 중구 정동길 22(정동),5969.0,126.969599,37.566564,197314.14204,551892.328822
27,33,장충초등학교 운동장,중구,1114016200,서울특별시 중구 청구로17길 40(신당동),3123.0,127.011148,37.559574,200985.006708,551116.130019
28,54,태랑중학교 운동장,노원구,1135010300,서울특별시 노원구 화랑로51나길 51(공릉동),4870.0,127.09172,37.626535,208096.72099,558552.031687
29,55,노일중학교 운동장,노원구,1135010500,서울특별시 노원구 동일로231길 24(상계동),4580.0,127.053902,37.672866,204755.287352,563691.683181
30,31,광희초등학교 운동장,중구,1114016200,서울특별시 중구 다산로 269(신당동),4499.0,127.015146,37.56719,201338.092614,551961.519095
31,40,서울의료보건고등학교(경기여자상업고등학교) 운동장,중구,1114017300,서울특별시 중구 만리재로37길 30(만리동1가),788.0,126.966743,37.556975,197061.461636,550828.171722
32,12,한천초등학교 운동장,노원구,1135010200,서울특별시 노원구 마들로 45(월계동),4430.0,127.069053,37.620108,206096.207459,557836.927457
33,11,월계초등학교 운동장,노원구,1135010200,서울특별시 노원구 월계로45가길 10(월계동),3950.0,127.050879,37.62752,204491.31086,558658.548993
34,10,선곡초등학교,노원구,1135010200,서울특별시 노원구 광운로2길 1(월계동),3400.0,127.058145,37.618459,205133.400017,557653.308626
35,25,중계초등학교 운동장,노원구,1135010600,서울특별시 노원구 한글비석로19길 39(중계동),4030.0,127.073235,37.657419,206462.174961,561978.370817
36,26,노원초등학교 운동장,노원구,1135010500,서울특별시 노원구 동일로230나길 32(상계동),4010.0,127.058291,37.672832,205142.492449,563688.153821
37,22,을지초등학교 운동장,노원구,1135010600,서울특별시 노원구 중계로 239(중계동),2910.0,127.072571,37.650605,206404.224208,561222.053586
38,20,중현초등학교 운동장,노원구,1135010400,서울특별시 노원구 섬밭로 181(하계동),3220.0,127.066551,37.632111,205874.457979,559168.9362
39,35,연지초등학교 운동장,노원구,1135010200,서울특별시 노원구 월계로55길 48(월계동),2020.0,127.05979,37.633293,205277.52133,559299.734406
40,39,노원중학교 운동장,노원구,1135010500,서울특별시 노원구 동일로213길 26(상계동),2540.0,127.0598,37.649013,205277.324684,561044.517936
41,36,녹천초등학교 운동장,노원구,1135010200,서울특별시 노원구 마들로3길 34(월계동),2740.0,127.063509,37.628401,205606.160662,558756.983956
42,23,중원초등학교 운동장,노원구,1135010600,서울특별시 노원구 섬밭로 316(중계동),4020.0,127.062812,37.643473,205543.564976,560429.859579
43,49,상수초등학교 운동장,노원구,1135010500,서울특별시 노원구 동일로216길 66(상계동),2230.0,127.064823,37.651447,205720.395031,561314.974711
44,61,중원중학교 운동장,노원구,1135010600,서울특별시 노원구 공릉로 420(중계동),3120.0,127.068118,37.643867,206011.777585,560473.890858
